Gestion associative,13001,Multi accueil,20,LES P’TITS LOUPS DE LONGCHAMP,88 Boulevard Longchamp,04.91.05.82.11,hg.stpierre.stpaul@free.fr,,43.302382,5.390605
Gestion associative,13001,Accueil occasionnel,21,LES MINOTS DES CAPUCINS,5 Rue des convalescents,04.91.90.52.33,,,43.299993,5.378692
Gestion associative,13001,Multi accueil,59,LA MAISON DES PETITS,9 Rue des Dominicaines,04.91.91.37.20,,,43.300156,5.376711
Gestion associative,13002,Multi accueil,39,LES MARMOTS A L'HORIZON,Immeuble Grand Horizon 11-13 bd de Dunkerque,04.91.57.51.90,crechelesmarmots@actimut.fr,,43.307644,5.367951
Gestion associative,13002,Accueil occasionnel,14,LES MINOTS DU PANIER,2 Place Francis Chirat,04.91.90.82.64,,,43.301236,5.367315
Gestion associative,13002,Multi accueil,18,MIGNON ET GROGNON,"CS Panier Joliette, 66 Rue de l'Evêché",04.91.91.14.52,,,43.300354,5.36664
Gestion associative,13002,Multi accueil,20,LA PATATE,13 Rue Vincent Leblanc,04.91.99.07.25,,,43.304008,5.368534
Gestion associative,13002,Multi accueil,23,JEAN-FRANCOIS LECA,20 Rue de l'Observance,04.91.90.36.07,,,43.301415 ,5.36765 
Gestion associative,13003,Accueil occasionnel,12,LES MINOTS DE SAINT CHARLES,23 Rue Lucien Rolmer Bât G,04.91.50.92.65,,,43.306124 ,5.375799 
Gestion associative,13003,Accueil occasionnel,14,LES MINOTS DE FONSCOLOMBES,3 Boulevard fonscolombes,04.91.05.77.82,,,43.312546 ,5.373164 
Gestion associative,13003,Micro crèches,10,LA RUCHE DU SUD,21 rue du sud et du père Louis Therobe,09.51.74.58.22,,,43.307666 ,5.379413 
Gestion associative,13003,Micro crèches,10,LA RUCHE,62 Rue du Génie,09.51.21.96.89,laruche.microcreche@gmail.com,,43.308188 ,5.382396 
Gestion associative,13003,Multi accueil,50,FRICHE BELLE DE MAI,12 Rue François Simon,04.26.78.12.78,,,43.31194 ,5.391621 
Gestion associative,13003,Multi accueil,35,LES PETITS KOALAS,28/32 Avenue Roger Salengro,04.91.50.61.12,,,,
Gestion associative,13003,Multi accueil,42,TIRIOU,134 bis rue de Crimée,04.91.05.85.70,,,,
Gestion associative,13003,Multi accueil,20,FELIX PYAT,69 rue Félix Pyat,,,http://www.crescendo.asso.fr/creche-félix-pyat,,
Gestion associative,13004,Multi accueil,20,LA HALTE D'À COTE,10 Rue Antoine Pons,04.91.27.13.40,,,43.297116 ,5.401799 
Gestion associative,13004,Multi accueil,70,UN AIR DE FAMILLE,5 Rue Antoine Pons,04.95.08.04.56,,,43.2971 ,5.401974 
Gestion associative,13004,Multi accueil,20,LES PIRATES,16 Impasse Fissiaux,04.91.36.09.85,,,43.30162 ,5.396446 
Gestion associative,13004,Multi accueil,75,LES MIRABELLES,8-10 Rue Camoin Jeune,04.95.08.21.28,,,43.300861 ,5.392771 
Gestion associative,13004,Multi accueil,25,ORIA,77 Boulevard de Roux,04.91.34.79.86,,,43.306899 ,5.40709 
Gestion associative,13004,Multi accueil,42,LA CABANE ENCHANTE,95 rue Albe,04.91.33.54.99,,,,
Gestion associative,13005,Multi accueil,47,LA CABANE DE CLEMENTINE,210 Boulevard Chave,04.91.58.04.49,,,43.295049 ,5.398746 
Gestion associative,13005,Multi accueil,45,LES NECTARINES,36 Boulevard des Frères Godchot,04.91.42.08.64,,,43.293385 ,5.407259 
Gestion associative,13005,Multi accueil,20,SOL EN SI,29 A Place Jean Jaurès,04.91.92.86.66,,,43.295371 ,5.387614 
Gestion associative,13006,Multi accueil,68,LE PETIT PRINCE 2,27 Rue Saint Sébastien,04.91.42.63.09,,,43.284834 ,5.382962 
Gestion associative,13006,Multi accueil,35,LA TARTINE,26 Rue Saint-Sébastien,04.91.81.51.89,,,43.285073 ,5.382382 
Gestion associative,13006,Multi accueil,65,BALOU 1,53 Cours Julien,04.91.92.15.54,,www.baloucreche.com,43.29389 ,5.38377 
Gestion associative,13006,Multi accueil,18,LA MAISONNETTE,11 Rue de Lodi,04.91.47.71.74,,,43.291201 ,5.385458 
Gestion associative,13006,Multi accueil,80,JARDIN ECUREUIL,30 rue Roux de Brignoles,04.91.53.53.49,,,43.28961 ,5.374226 
Gestion associative,13006,Accueil occasionnel,24,ATELIER BERLINGOT,43 Boulevard Notre Dame,09.53.96.33.48,,,43.288187 ,5.373718 
Gestion associative,13006,Multi accueil,52,LES ARISTOCHATS,27 rue Aldebert,04.84.89.07.03,,,,
Gestion associative,13007,Multi accueil,24,CRECHE 285,285 rue d'Endoume,04.91.31.36.78,,,43.283897 ,5.355934 
Gestion associative,13007,Multi accueil,73,"BALOU 3 ""LA COLLINE""",67 Rue Robert et Fènelon Guidicelli,04.84.25.11.17,,www.baloucreche.com,43.286102 ,5.354653 
Gestion associative,13007,Multi accueil,28,ENDOUME,285 Rue d'Endoume,04.91.52.22.69,,www.cscendoume.fr,43.283897 ,5.355934 
Gestion associative,13008,Multi accueil,45,POUSSY IV,14 Boulevard Edouard Herriot,04.91.77.76.28,,,43.272634 ,5.38947 
Gestion associative,13008,Multi accueil,59,POUSSY II,25 Boulevard Louvain,04.91.78.50.21,,,43.276644 ,5.392168 
Gestion associative,13008,Multi accueil,70,POUSSY III,Hôpital Saint-Joseph 26 Bd de Louvain,04.91.16.50.35,,,43.276312 ,5.392378 
Gestion associative,13008,Multi accueil,62,LES MOUSSAILLONS,594 Avenue du Prado,04.91.71.37.36,,www.creches-du-sud.fr,43.263985 ,5.375407 
Gestion associative,13008,Multi accueil,17,LES PETITS LOUPS DE BONNEVEINE,102 Avenue de Hambourg,04.88.44.66.45,,http://www.halte-garderie-marseille.fr,43.250153 ,5.389125 
Gestion associative,13008,Multi accueil,45,POUSSY I,Parc Hermes Avenue d'Haïfa,04.91.72.43.69,,,43.251672 ,5.390883 
Gestion associative,13008,Multi accueil,32,LE PETIT JARDIN,10 Rue Raphael,04.91.77.28.19,,,43.268676 ,5.392392 
Gestion associative,13008,Multi accueil,58,LE PETIT PRINCE 1,Rue Borde perpendiculaire,04.91.79.64.53,contact@creche-petitprince.fr,,43.279503 ,5.393369 
Gestion associative,13008,Multi accueil,40,LES LIBELLULES,286 Avenue de Mazargues,04.91.78.12.37,,,43.261162 ,5.393548 
Gestion associative,13008,Multi accueil,65,SAINTE VICTOIRE,"70, Avenue André Zénatti",04.91.72.48.51,,www.creches-du-sud.fr,43.246009 ,5.387693 
